name,website,phone,full_address,street,postal_code,reviews,rating,review_count,photo_count,location_link,search_query,search_area
"Maryland Small Arms Range, Inc.",N/A,,"9801 Fallard Ct, Upper Marlboro, MD 20772","9801 Fallard Ct, Upper Marlboro",20772,4.2 stars,4.2,N/A,6,"https://www.google.com/maps/place/Maryland+Small+Arms+Range,+Inc./@38.8052757,-76.8377876,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7bde69395ace1:0xb75c0efaf57b0ad3!8m2!3d38.8052757!4d-76.8377876!16s%2Fg%2F1hm6309v8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
Boom Boom Firearms & Training,N/A,(301) 747-3500,"6710 Oxon Hill Rd Ste 210, Oxon Hill, MD 20745","6710 Oxon Hill Rd Ste 210, Oxon Hill",20745,4.9 stars,4.9,N/A,0,"https://www.google.com/maps/place/Boom+Boom+Firearms+%26+Training/@38.7979124,-77.0016565,16z/data=!3m1!4b1!4m6!3m5!1s0x89b7ba8709c36737:0xe09701219829e1ae!8m2!3d38.7979124!4d-77.0016565!16s%2Fg%2F11fz5q600w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
"Firearms Sales
Experience the Boom Boom Difference!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://www.boomboom1.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14827735725589964455,shooting ranges,Washington DC
NOVA Armory,N/A,(703) 566-2814,"2607 Wilson Blvd, Arlington, VA 22201","2607 Wilson Blvd, Arlington",22201,4.4 stars,4.4,N/A,4,"https://www.google.com/maps/place/NOVA+Armory/@38.8900657,-77.0900617,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7b691e58125bb:0xfb6380211570d635!8m2!3d38.8900657!4d-77.0900617!16s%2Fg%2F11ck5c2pqk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
